id,Lot Area,Lot Config,Home Type,Roof Style,Foundation Type,Basement Area,Heating Type,Central Air,Rooms,Fireplaces,Garage Type,Fence Type,Year,Price,Satisfaction
p46,9196,Inside,Single Family,Gable,PConc,1560,GasA,Y,7,0,Attchd,NA,2010,201000,7
p47,19138,Corner,Single Family,Gable,CBlock,864,GasA,Y,4,0,Detchd,NA,2010,141000,3
p48,9819,Inside,Single Family,Gable,CBlock,882,GasA,Y,5,0,Detchd,MnPrv,2010,122000,5
p49,11275,Corner,Single Family,Mansard,CBlock,710,GasA,Y,11,1,BuiltIn,NA,2010,242000,6
p50,14191,Inside,Single Family,Gable,PConc,967,GasA,Y,9,0,Attchd,NA,2010,202900,2
p51,2592,Inside,Townhouse,Gable,CBlock,536,GasA,Y,4,0,Attchd,NA,2010,85000,9
p52,8520,Inside,Single Family,Gable,BrkTil,624,GasA,Y,5,0,Detchd,NA,2010,105900,6
p53,7800,Inside,Single Family,Gable,PConc,1268,GasA,Y,7,1,Attchd,NA,2010,132000,10
p54,9830,Corner,Single Family,Gable,CBlock,1063,GasA,Y,7,1,Detchd,NA,2010,162000,2
p55,7175,Inside,Townhouse,Gable,CBlock,744,GasA,Y,4,0,Attchd,MnPrv,2010,125000,7
p56,11394,Corner,Single Family,Hip,PConc,1856,GasA,Y,8,1,Attchd,NA,2010,394432,1
p57,5000,Inside,Single Family,Gable,BrkTil,1026,GasA,Y,6,1,Detchd,NA,2010,127000,6
p58,3182,Inside,Townhouse,Gable,PConc,1256,GasA,Y,6,1,Attchd,NA,2010,192000,2
p59,9571,Inside,Single Family,Gable,CBlock,1144,GasA,Y,6,0,Attchd,NA,2010,129000,9
p60,4403,Inside,Single Family,Gable,PConc,1470,GasA,Y,7,1,Attchd,NA,2010,222000,9
p61,8960,Inside,Single Family,Gable,CBlock,1008,GasA,Y,5,1,Detchd,NA,2010,115000,2
p62,8450,Inside,Single Family,Gable,CBlock,1056,GasA,Y,6,1,Attchd,NA,2010,142000,10
p63,16492,Corner,Single Family,Gable,CBlock,1517,GasA,Y,6,1,Attchd,NA,2010,190000,4
p64,6820,Corner,Townhouse,Gable,PConc,1488,GasA,Y,4,0,Attchd,NA,2010,212000,3
p65,15602,Inside,Single Family,Gable,CBlock,1501,GasA,Y,6,2,Attchd,GdWo,2010,289000,7
p66,7200,Inside,Single Family,Gable,Slab,0,GasA,Y,5,1,Detchd,NA,2010,107500,5
p67,11423,Inside,Single Family,Gable,PConc,1581,GasA,Y,6,1,Attchd,MnPrv,2010,272000,10
p68,11341,Inside,Single Family,Hip,CBlock,1392,GasA,Y,5,1,Detchd,NA,2010,121500,8
p69,6858,Corner,Single Family,Gable,PConc,806,GasA,N,6,0,Detchd,NA,2010,128000,7
p70,10171,Inside,Single Family,Gable,PConc,1517,GasA,Y,7,0,Attchd,NA,2010,214000,7
p71,3182,Inside,Townhouse,Gable,PConc,600,GasA,Y,4,0,Detchd,NA,2010,151000,2
p72,1491,Inside,Townhouse,Gable,CBlock,630,GasA,Y,3,0,NA,NA,2010,75500,1
p73,8800,Inside,Single Family,Gable,PConc,936,GasA,Y,6,0,Attchd,MnPrv,2010,137500,2
p74,10000,Corner,Single Family,Hip,CBlock,1116,GasA,Y,5,0,Attchd,NA,2010,160000,2
p75,9600,Inside,Single Family,Gable,CBlock,1156,GasA,Y,7,2,Basment,NA,2010,153000,6
p76,6979,Inside,Duplex,Gable,CBlock,1056,GasA,Y,4,0,Detchd,GdPrv,2010,144000,7
p77,7700,Inside,Single Family,Gable,CBlock,756,GasA,Y,7,1,Attchd,NA,2010,155000,4
p78,1680,Inside,Townhouse,Gable,CBlock,525,GasA,Y,6,0,Detchd,NA,2010,88000,4
p79,17503,Inside,Single Family,Gable,CBlock,912,GasA,Y,6,1,Attchd,NA,2010,97500,5
p80,8012,Inside,Townhouse,Gable,CBlock,923,GasA,Y,5,1,Attchd,NA,2010,143000,9
p81,16770,CulDSac,Single Family,Gable,PConc,1195,GasA,Y,7,0,Attchd,NA,2010,221000,2
p82,8450,Inside,Single Family,Gable,CBlock,894,GasA,Y,5,1,Detchd,MnPrv,2010,138500,10
p83,7630,Inside,Condo,Gable,BrkTil,360,GasA,Y,8,1,Detchd,MnPrv,2010,140000,4
p84,8400,Inside,Single Family,Gable,PConc,1473,GasA,Y,7,0,Attchd,NA,2010,213000,9
p85,5600,Inside,Condo,Hip,Slab,0,GasA,N,7,0,NA,NA,2010,55000,9
p86,8712,Inside,Single Family,Gable,Stone,859,GasA,Y,7,0,Detchd,NA,2010,102776,9
p87,13517,CulDSac,Single Family,Gable,CBlock,725,GasA,Y,6,0,Attchd,NA,2010,130500,6
p88,4426,Inside,Townhouse,Gable,PConc,848,GasA,Y,3,0,Attchd,NA,2010,143000,4
p89,5389,Inside,Townhouse,Gable,PConc,1595,GasA,Y,5,1,Attchd,NA,2010,236500,7
p90,10593,Inside,Single Family,Hip,PConc,1720,GasA,Y,7,1,Attchd,NA,2010,260400,4
p91,8800,Corner,Single Family,Gable,BrkTil,576,GasA,Y,7,0,NA,NA,2010,96500,2
p92,11616,CulDSac,Single Family,Hip,CBlock,672,GasA,Y,6,1,Attchd,GdPrv,2010,158900,6
p93,8640,Inside,Single Family,Gable,PConc,756,GasA,Y,7,0,Attchd,NA,2010,215200,1
p94,10421,Inside,Single Family,Gable,CBlock,980,GasA,Y,7,1,Attchd,MnPrv,2010,196500,9
p95,53504,CulDSac,Single Family,Hip,PConc,1650,GasA,Y,12,1,BuiltIn,NA,2010,538000,8
p96,7819,Inside,Single Family,Gable,CBlock,1029,GasA,Y,6,1,Detchd,MnPrv,2010,107000,7
p97,10800,Inside,Single Family,Gable,PConc,686,GasA,Y,7,0,Detchd,NA,2010,139000,10
p98,10142,Inside,Single Family,Gable,PConc,956,GasA,Y,8,0,BuiltIn,NA,2010,233000,6
p99,8400,Inside,Single Family,Gable,CBlock,650,GasA,Y,7,1,Attchd,MnPrv,2010,171000,8
p100,8712,Inside,Single Family,Hip,CBlock,540,GasA,N,4,0,Basment,NA,2010,55993,9
p101,12137,CulDSac,Single Family,Gable,PConc,1649,GasA,Y,6,0,Attchd,NA,2010,224900,8
p102,8816,Inside,Single Family,Gable,CBlock,1010,GasA,Y,6,0,Attchd,MnPrv,2010,155000,10
p103,6371,Inside,Townhouse,Gable,PConc,1358,GasA,Y,6,1,Attchd,NA,2010,224000,9
p104,9548,CulDSac,Single Family,Gable,PConc,941,GasA,Y,7,1,Attchd,NA,2010,237000,9
p105,9600,Inside,Single Family,Gable,CBlock,1067,GasA,Y,4,0,Attchd,NA,2010,128000,9
p106,6897,Corner,Single Family,Gable,CBlock,1040,GasA,Y,6,0,Detchd,NA,2010,127000,1
p107,11625,Inside,Condo,Hip,PConc,1039,GasA,Y,6,0,Attchd,NA,2010,131500,2
p108,9672,Corner,Single Family,Hip,PConc,1040,GasA,Y,6,0,Attchd,GdPrv,2010,152000,10
p109,9938,Inside,Single Family,Gable,PConc,1050,GasA,Y,8,1,Attchd,GdPrv,2010,236000,1
p110,8750,Inside,Single Family,Gable,PConc,804,GasA,Y,7,0,Attchd,NA,2010,200500,4
p111,11782,Inside,Single Family,Gable,CBlock,1109,GasA,Y,6,0,Detchd,MnPrv,2010,148000,7
p112,12919,Inside,Single Family,Hip,PConc,2330,GasA,Y,11,2,Attchd,NA,2010,611657,1
p113,9920,Inside,Single Family,Gable,CBlock,1056,GasA,Y,6,0,Attchd,MnPrv,2010,128000,8
p114,11600,Corner,Duplex,Gable,CBlock,1105,GasA,Y,12,0,Detchd,NA,2010,154300,5
p115,24090,Inside,Single Family,Gable,CBlock,1032,GasA,Y,10,2,Attchd,NA,2010,244400,3
p116,9360,Inside,Single Family,Hip,CBlock,1161,GasA,Y,5,1,Attchd,NA,2010,197500,2
p117,2572,FR2,Townhouse,Hip,PConc,696,GasA,Y,6,0,Detchd,NA,2010,155000,3
p118,7207,Inside,Single Family,Gable,CBlock,858,GasA,Y,4,0,NA,NA,2010,116500,6
p119,11316,Corner,Single Family,Gable,PConc,817,GasA,Y,8,1,BuiltIn,NA,2010,214900,2
p120,7892,Inside,Townhouse,Gable,CBlock,918,GasA,Y,5,1,Attchd,NA,2010,99500,7
p121,10159,Inside,Single Family,Hip,PConc,1930,GasA,Y,8,1,Attchd,NA,2010,395192,1
p122,6762,Inside,Single Family,Gable,PConc,1187,GasA,Y,6,0,Attchd,NA,2010,206000,2
p123,9825,Inside,Duplex,Hip,CBlock,0,GasA,N,8,0,NA,NA,2010,100000,7
p124,9300,Inside,Single Family,Gable,CBlock,1268,GasA,Y,6,2,Attchd,NA,2010,167500,1
p125,11100,Inside,Single Family,Gable,CBlock,0,GasA,Y,6,0,Detchd,NA,2010,84900,10
p126,8562,Inside,Single Family,Hip,CBlock,1216,GasA,Y,7,1,Basment,NA,2010,144500,4
p127,4920,Inside,Townhouse,Gable,PConc,1338,GasA,Y,6,0,Attchd,NA,2010,213500,6
p128,14000,Inside,Single Family,Gable,PConc,1306,GasA,Y,7,0,Attchd,NA,2010,328000,6
p129,7500,Corner,Single Family,Gable,CBlock,1040,GasA,Y,5,0,Attchd,MnPrv,2010,133000,7
p130,9069,Inside,Single Family,Gable,PConc,936,GasA,Y,5,0,Attchd,NA,2010,147000,4
p131,1974,Inside,Townhouse,Gable,CBlock,546,GasA,Y,6,0,Attchd,NA,2010,83500,9
p132,5868,Inside,Single Family,Gable,CBlock,936,GasA,Y,4,0,Attchd,NA,2010,129000,6
p133,12256,Corner,Single Family,Gable,PConc,1463,GasA,Y,9,2,Attchd,NA,2010,325000,4
p134,6342,Inside,Single Family,Gable,CBlock,780,GasA,N,6,0,NA,NA,2010,94000,10
p135,12180,Inside,Condo,Gable,BrkTil,672,Grav,N,5,0,Detchd,MnPrv,2010,80000,10
p136,2280,Inside,Townhouse,Gable,CBlock,855,GasA,Y,7,1,Attchd,NA,2010,146000,9
p137,10475,Corner,Single Family,Gable,PConc,1694,GasA,Y,7,0,Attchd,NA,2010,245350,6
p138,7500,Inside,Single Family,Gable,PConc,994,GasA,Y,7,1,Attchd,NA,2010,189000,2
p139,9364,Corner,Single Family,Gable,CBlock,663,GasA,Y,7,0,Attchd,MnPrv,2010,158000,1
p140,11218,Inside,Single Family,Gable,PConc,1055,GasA,Y,8,1,Attchd,GdPrv,2010,189000,9
p141,12134,Inside,Single Family,Gable,Wood,559,GasA,Y,8,0,Basment,NA,2010,164000,7
p142,8930,Inside,Duplex,Gable,Slab,0,GasA,Y,8,0,Attchd,NA,2010,112000,8
p143,12160,Inside,Single Family,Hip,CBlock,1188,GasA,Y,6,0,Attchd,MnPrv,2010,142000,7
p144,2628,Inside,Townhouse,Gable,PConc,764,GasA,Y,6,0,BuiltIn,NA,2010,175500,6
p145,10625,Inside,Single Family,Gable,CBlock,1053,GasA,Y,6,2,Attchd,MnPrv,2010,170000,7
p146,12328,Inside,Single Family,Gable,CBlock,1012,GasA,Y,6,0,Attchd,NA,2010,169900,10
p147,11160,Corner,Single Family,Hip,CBlock,2110,GasA,Y,8,2,Attchd,NA,2010,244000,8
p148,13214,Inside,Single Family,Hip,PConc,2002,GasA,Y,10,1,Attchd,NA,2010,378500,7
p149,23595,Inside,Single Family,Shed,PConc,1332,GasA,Y,4,1,Attchd,NA,2010,260000,5
p150,7500,Inside,Single Family,Gable,CBlock,698,GasA,Y,6,0,Detchd,NA,2010,68400,4
p151,9400,Corner,Duplex,Mansard,CBlock,912,GasA,Y,8,0,NA,NA,2010,139000,5
p152,9638,Inside,Single Family,Gable,PConc,804,GasA,Y,10,1,Detchd,NA,2010,169000,7
p153,9790,Inside,Single Family,Hip,CBlock,1328,GasA,Y,6,2,Attchd,NA,2010,143000,10
p154,14112,Corner,Single Family,Hip,PConc,1152,GasA,Y,6,1,Attchd,NA,2010,180500,2
p155,7500,Inside,Single Family,Hip,CBlock,1246,GasA,Y,6,0,Attchd,GdPrv,2010,154000,7
p156,17500,Inside,Single Family,Gable,PConc,1902,GasA,Y,7,2,Attchd,NA,2010,335000,5
p157,14774,Corner,Single Family,Gable,PConc,1393,GasA,Y,10,1,BuiltIn,NA,2010,333168,4
p158,10186,Inside,Single Family,Gable,PConc,750,GasA,Y,8,1,Attchd,NA,2010,190000,7
p159,14720,CulDSac,Single Family,Hip,PConc,2033,GasA,Y,9,1,Attchd,NA,2010,410000,2
p160,12537,CulDSac,Single Family,Gable,CBlock,1078,GasA,Y,6,1,Attchd,NA,2010,149900,7
p161,2117,Inside,Townhouse,Gable,PConc,756,GasA,Y,5,0,Detchd,NA,2010,177500,5
p162,7500,Inside,Single Family,Gable,PConc,814,GasA,Y,7,0,Attchd,NA,2010,216000,6
p163,10635,FR2,Single Family,Hip,PConc,1657,GasA,Y,8,1,Attchd,NA,2010,232000,10
p164,8212,Inside,Single Family,Gable,BrkTil,864,GasA,N,5,0,Detchd,NA,2010,58500,3
p165,5436,Inside,Single Family,Gable,BrkTil,796,GasA,Y,7,0,Detchd,MnPrv,2010,125500,4
p166,57200,Inside,Single Family,Gable,CBlock,747,GasA,Y,7,2,Detchd,NA,2010,160000,2
p167,7740,Inside,Single Family,Gable,CBlock,622,GasA,Y,6,0,Detchd,NA,2010,125500,7
p168,11340,Inside,Condo,Gable,PConc,777,GasA,Y,11,0,Detchd,NA,2010,122500,10
p169,4043,Inside,Townhouse,Gable,CBlock,1069,GasA,Y,4,1,Attchd,NA,2010,127500,9
p170,7200,Corner,Single Family,Gable,CBlock,788,GasA,Y,4,2,Attchd,MnPrv,2010,119000,6
p171,7407,Inside,Single Family,Gable,CBlock,912,GasA,Y,6,0,Attchd,MnPrv,2010,149700,1
p172,26142,CulDSac,Single Family,Gable,CBlock,1188,GasA,Y,6,0,Attchd,NA,2010,157900,8
p173,13175,Inside,Single Family,Gable,CBlock,1542,GasA,Y,7,2,Attchd,MnPrv,2010,210000,9
p174,9042,Inside,Single Family,Gable,Stone,1152,GasA,Y,9,2,Attchd,GdPrv,2010,266500,7
p175,9717,Inside,Single Family,Hip,CBlock,1078,GasA,Y,5,0,Attchd,NA,2010,142125,2
p176,14115,Inside,Single Family,Gable,Wood,796,GasA,Y,5,0,Attchd,MnPrv,2009,143000,2
p177,10382,Corner,Single Family,Gable,CBlock,1107,GasA,Y,7,2,Attchd,NA,2009,200000,2
p178,7560,Inside,Single Family,Hip,CBlock,1029,GasA,Y,6,0,Attchd,MnPrv,2009,139000,8
p179,14230,Corner,Single Family,Gable,PConc,1566,GasA,Y,7,1,Attchd,NA,2009,256300,10
p180,10859,Corner,Single Family,Gable,PConc,1097,GasA,Y,6,0,Attchd,NA,2009,145000,7
p181,8532,Inside,Single Family,Hip,CBlock,1297,GasA,Y,5,1,Attchd,NA,2009,153000,10
p182,12822,CulDSac,Single Family,Gable,PConc,1434,GasA,Y,6,1,Attchd,NA,2009,239686,9
p183,4456,Inside,Condo,Gable,BrkTil,736,GasA,Y,8,0,NA,NA,2009,113000,6
p184,2645,Inside,Townhouse,Gable,PConc,970,GasA,Y,7,0,Attchd,NA,2009,172500,10
p185,9375,Inside,Single Family,Gable,PConc,1057,GasA,Y,8,0,Attchd,GdPrv,2009,219500,6
p186,10141,Corner,Single Family,Gable,PConc,832,GasA,Y,7,1,Attchd,NA,2009,185000,5
p187,1596,Inside,Townhouse,Gable,CBlock,462,GasA,Y,5,0,BuiltIn,GdWo,2009,91000,5
p188,10440,Corner,Single Family,Gable,PConc,440,GasA,Y,5,0,Detchd,MnPrv,2009,110000,6
p189,13000,Corner,Single Family,Gable,CBlock,896,GasA,Y,8,1,Attchd,NA,2009,193500,9
p190,8530,Inside,Single Family,Gable,PConc,384,GasA,Y,7,1,BuiltIn,NA,2009,168500,2
p191,11911,Inside,Single Family,Gable,PConc,684,GasA,Y,6,1,BuiltIn,NA,2009,174000,1
p192,3951,Corner,Townhouse,Gable,PConc,612,GasA,Y,4,0,Detchd,NA,2009,164500,2
p193,8470,Corner,Single Family,Hip,CBlock,1013,GasA,N,6,0,NA,MnPrv,2009,85000,1
p194,13360,Inside,Single Family,Gable,BrkTil,876,GasA,Y,5,0,Detchd,NA,2009,163500,3
p195,9765,Corner,Single Family,Gable,PConc,680,GasA,Y,6,1,BuiltIn,NA,2009,185000,8
p196,7018,Inside,Duplex,Gable,Slab,0,GasA,Y,8,0,Attchd,NA,2009,118964,10
p197,11616,Inside,Single Family,Gable,CBlock,1092,GasA,Y,6,1,Attchd,NA,2009,139000,10
p198,17043,CulDSac,Single Family,Gable,CBlock,1362,GasA,Y,7,1,Attchd,NA,2009,181000,9
p199,12224,Corner,Single Family,Gable,PConc,992,GasA,Y,7,1,BuiltIn,NA,2009,244000,5
p200,6853,Inside,Single Family,Gable,PConc,1267,GasA,Y,6,0,Attchd,NA,2009,220000,10
p201,15426,Inside,Single Family,Gable,PConc,928,GasA,Y,7,0,Attchd,MnPrv,2009,231500,3
p202,10335,Inside,Single Family,Gable,PConc,1490,GasA,Y,6,0,Attchd,NA,2009,204000,6
p203,6120,Corner,Single Family,Gable,BrkTil,715,GasA,Y,5,0,Detchd,NA,2009,105000,8
p204,10708,Inside,Single Family,Hip,CBlock,1617,GasA,Y,7,3,Attchd,GdWo,2009,190000,10
p205,17423,CulDSac,Single Family,Hip,PConc,2216,GasA,Y,9,1,Attchd,NA,2009,501837,1
p206,9947,CulDSac,Single Family,Gable,PConc,1188,GasA,Y,6,0,Attchd,GdPrv,2009,173000,6
p207,10410,Inside,Single Family,Gable,CBlock,660,GasA,Y,8,0,Detchd,MnPrv,2009,135000,1
p208,7018,Inside,Duplex,Gable,CBlock,1086,GasA,Y,6,2,Detchd,NA,2009,153337,1
p209,9017,Inside,Single Family,Gable,PConc,1431,GasA,Y,6,0,Attchd,NA,2009,192000,5
p210,2280,FR2,Townhouse,Gable,CBlock,855,GasA,Y,7,1,Attchd,NA,2009,148500,10
p211,5520,Corner,Single Family,Gable,CBlock,755,GasA,Y,8,0,NA,MnPrv,2009,104000,5
p212,9591,Inside,Single Family,Hip,PConc,1713,GasA,Y,7,1,Attchd,NA,2009,274900,3
p213,3500,Inside,Single Family,Gable,CBlock,720,GasA,Y,5,0,Detchd,MnWw,2009,110000,9
p214,11851,Corner,Single Family,Gable,PConc,1424,GasA,Y,5,0,Attchd,NA,2009,180500,3
p215,8640,Inside,Single Family,Gable,PConc,900,GasA,Y,7,1,Attchd,NA,2009,252678,3
p216,8068,Inside,Single Family,Gable,PConc,1010,GasA,Y,8,1,BuiltIn,NA,2009,200000,7
p217,10500,FR2,Single Family,Gable,CBlock,864,GasA,Y,4,0,Detchd,NA,2009,97000,9
p218,13472,Inside,Single Family,Hip,PConc,2392,GasA,Y,8,1,Attchd,NA,2009,386250,3
p219,1680,Inside,Townhouse,Gable,CBlock,630,GasA,Y,6,0,Detchd,NA,2009,112000,3
p220,3182,Inside,Townhouse,Gable,PConc,1373,GasA,Y,7,1,Attchd,NA,2009,192500,4
p221,15138,Inside,Single Family,Gable,PConc,1462,GasA,Y,9,1,Attchd,NA,2009,403000,1
p222,10762,Corner,Townhouse,Gable,CBlock,626,GasA,Y,6,1,Attchd,NA,2009,120000,7
p223,8814,Inside,Single Family,Gable,PConc,1604,GasA,Y,8,1,Attchd,NA,2009,220000,5
p224,19296,Corner,Single Family,Gable,CBlock,1362,GasA,Y,6,1,Attchd,GdWo,2009,176000,5
p225,9600,Inside,Single Family,Hip,CBlock,1240,GasA,Y,6,1,Attchd,MnPrv,2009,139000,10
p226,7264,Inside,Single Family,Gable,BrkTil,952,GasW,N,5,0,Detchd,NA,2009,205000,4
p227,5063,Inside,Townhouse,Gable,PConc,1314,GasA,Y,6,1,Attchd,NA,2009,207500,7
p228,9612,Inside,Single Family,Gable,PConc,1468,GasA,Y,6,1,Attchd,NA,2009,244600,9
p229,11409,Inside,Single Family,Gable,CBlock,768,GasA,Y,8,1,Attchd,NA,2009,131000,3
p230,9600,Inside,Single Family,Hip,CBlock,1416,GasA,Y,7,2,Attchd,NA,2009,167000,10
p231,14000,Inside,Single Family,Gable,CBlock,1092,GasA,Y,6,1,Attchd,GdPrv,2009,158500,7
p232,12342,Inside,Single Family,Gable,CBlock,861,GasA,Y,4,0,Detchd,NA,2009,82500,2
p233,8000,Inside,Single Family,Gable,CBlock,972,GasA,Y,5,1,Detchd,NA,2009,132000,1
p234,215245,Inside,Single Family,Hip,CBlock,2136,GasW,Y,8,2,Attchd,NA,2009,375000,4
p235,7795,Inside,Single Family,Gable,PConc,716,GasA,Y,6,1,Attchd,NA,2009,188500,1
p236,13005,Corner,Single Family,Gable,CBlock,845,GasA,Y,10,1,Attchd,GdPrv,2009,260000,2
p237,9900,Inside,Single Family,Gable,PConc,1347,GasA,Y,9,1,Attchd,NA,2009,260000,10
p238,14115,Inside,Single Family,Gable,CBlock,1372,GasA,Y,6,2,Attchd,NA,2009,187500,2
p239,11888,Inside,Single Family,Gable,BrkTil,844,GasA,N,10,0,Detchd,NA,2009,214500,10
p240,6402,Corner,Single Family,Gable,PConc,596,GasA,N,6,0,Detchd,GdWo,2009,78000,5
p241,10655,Inside,Single Family,Gable,PConc,3206,GasA,Y,7,1,Attchd,NA,2009,284000,9
p242,12400,Inside,Single Family,Hip,CBlock,1215,GasA,Y,6,0,Attchd,NA,2009,155000,1
p243,8400,Inside,Single Family,Gable,CBlock,721,GasA,Y,4,0,CarPort,NA,2009,82000,3
p244,17600,Inside,Single Family,Gable,CBlock,1478,GasA,Y,6,2,Attchd,NA,2009,157500,5
p245,9248,Inside,Single Family,Gable,PConc,1158,GasA,Y,6,0,Attchd,NA,2009,173000,1
p246,7301,Corner,Single Family,Gable,Slab,0,GasA,Y,7,1,BuiltIn,NA,2009,198500,3
p247,1680,Inside,Townhouse,Gable,CBlock,483,GasA,Y,5,0,Detchd,NA,2009,118000,2
p248,10690,Inside,Single Family,Hip,CBlock,672,GasA,Y,6,0,Detchd,NA,2009,147000,10
p249,9500,Inside,Single Family,Gable,CBlock,1394,GasA,Y,6,2,Attchd,NA,2009,159000,9
p250,10634,Inside,Single Family,Gable,PConc,608,GasA,Y,5,0,Attchd,GdWo,2009,123000,6
p251,10020,Inside,Single Family,Gable,BrkTil,683,GasA,N,4,0,NA,NA,2009,61000,5
p252,8123,Inside,Single Family,Gable,PConc,982,GasA,Y,7,1,Attchd,NA,2009,179000,3
p253,9000,Corner,Single Family,Gable,BrkTil,784,GasA,N,5,0,Detchd,NA,2009,76000,4
p254,7200,Inside,Single Family,Hip,CBlock,1041,GasA,Y,6,1,Detchd,GdWo,2009,125000,7
p255,12209,CulDSac,Single Family,Gable,PConc,804,GasA,Y,7,1,BuiltIn,NA,2009,215000,2
p256,7200,Inside,Single Family,Hip,CBlock,894,GasA,Y,6,0,Detchd,NA,2009,123000,1
